target_pref_name,target_chembl_id,accession,TDL
DNA repair and recombination protein RAD54-like,CHEMBL2146297,Q92698,Tbio
DNA repair protein RAD51 homolog 1,CHEMBL2034807,Q06609,Tchem
DNA topoisomerase I,CHEMBL1781,P11387,Tclin
DNA topoisomerase II alpha,CHEMBL1806,P11388,Tclin
DNA-(apurinic or apyrimidinic site) lyase,CHEMBL5619,P27695,Tchem
DNA-3-methyladenine glycosylase,CHEMBL3396943,P29372,Tchem
DNA-dependent protein kinase,CHEMBL3142,P78527,Tchem
DNA-directed DNA/RNA polymerase mu,CHEMBL1914260,Q9NP87,Tbio
DNA-directed RNA polymerase I subunit RPA1,CHEMBL3286067,O95602,Tchem
Death-associated protein kinase 1,CHEMBL2558,P53355,Tchem
Death-associated protein kinase 2,CHEMBL3123,Q9UIK4,Tchem
Death-associated protein kinase 3,CHEMBL2468,O43293,Tchem
Dehydrogenase/reductase SDR family member 9,CHEMBL5974,Q9BPW9,Tbio
Delta opioid receptor,CHEMBL236,P41143,Tclin
Deoxycytidine kinase,CHEMBL2447,P27707,Tchem
Deoxyribonuclease gamma,CHEMBL1649048,Q13609,Tbio
Deoxyribonuclease-1,CHEMBL3351219,P24855,Tchem
Diacylglycerol O-acyltransferase 1,CHEMBL6009,O75907,Tclin
Diacylglycerol O-acyltransferase 2,CHEMBL5853,Q96PD7,Tchem
Diamine oxidase,CHEMBL2118,P19801,Tchem
Dihydrofolate reductase,CHEMBL202,P00374,Tclin
Dihydroorotate dehydrogenase,CHEMBL1966,Q02127,Tclin
Dipeptidyl peptidase I,CHEMBL2252,P53634,Tchem
Dipeptidyl peptidase II,CHEMBL3976,Q9UHL4,Tchem
Dipeptidyl peptidase IV,CHEMBL284,P27487,Tclin
Dipeptidyl peptidase IX,CHEMBL4793,Q86TI2,Tchem
Dipeptidyl peptidase VIII,CHEMBL4657,Q6V1X1,Tchem
Discoidin domain-containing receptor 2,CHEMBL5122,Q16832,Tchem
Disintegrin and metalloproteinase domain-containing protein 33,CHEMBL6121,Q9BZ11,Tchem
Disintegrin and metalloproteinase domain-containing protein 8,CHEMBL5665,P78325,Tchem
Disks large homolog 4,CHEMBL5666,P78352,Tchem
Dopamine D1 receptor,CHEMBL2056,P21728,Tclin
Dopamine D2 receptor,CHEMBL217,P14416,Tclin
Dopamine D3 receptor,CHEMBL234,P35462,Tclin
Dopamine D4 receptor,CHEMBL219,P21917,Tchem
Dopamine D5 receptor,CHEMBL1850,P21918,Tchem
Dopamine beta-hydroxylase,CHEMBL3102,P09172,Tchem
Dopamine transporter,CHEMBL238,Q01959,Tclin
Double-strand break repair protein MRE11A,CHEMBL3308929,P49959,Tbio
Dual serine/threonine and tyrosine protein kinase,CHEMBL1908386,Q6XUX3,Tchem
Dual specificity mitogen-activated protein kinase kinase 1,CHEMBL3587,Q02750,Tclin
Dual specificity mitogen-activated protein kinase kinase 2,CHEMBL2964,P36507,Tclin
Dual specificity mitogen-activated protein kinase kinase 3,CHEMBL2109,P46734,Tchem
Dual specificity mitogen-activated protein kinase kinase 4,CHEMBL2897,P45985,Tchem
Dual specificity mitogen-activated protein kinase kinase 5,CHEMBL4948,Q13163,Tchem
Dual specificity mitogen-activated protein kinase kinase 6,CHEMBL2171,P52564,Tchem
Dual specificity mitogen-activated protein kinase kinase 7,CHEMBL3530,O14733,Tchem
Dual specificity phosphatase 22,CHEMBL3924,Q9NRW4,Tbio
Dual specificity phosphatase Cdc25A,CHEMBL3775,P30304,Tchem
Dual specificity phosphatase Cdc25B,CHEMBL4804,P30305,Tchem
Dual specificity phosphatase Cdc25C,CHEMBL2378,P30307,Tchem
Dual specificity protein kinase CLK2,CHEMBL4225,P49760,Tchem
Dual specificity protein kinase CLK3,CHEMBL4226,P49761,Tchem
Dual specificity protein kinase CLK4,CHEMBL4203,Q9HAZ1,Tchem
Dual specificity protein kinase TTK,CHEMBL3983,P33981,Tchem
Dual specificity protein phosphatase 1,CHEMBL6026,P28562,Tchem
Dual specificity protein phosphatase 10,CHEMBL2396511,Q9Y6W6,Tbio
Dual specificity protein phosphatase 15,CHEMBL2396507,Q9H1R2,Tbio
Dual specificity protein phosphatase 2,CHEMBL2157858,Q05923,Tbio
Dual specificity protein phosphatase 23,CHEMBL2396506,Q9BVJ7,Tbio
Dual specificity protein phosphatase 26,CHEMBL2295562,Q9BV47,Tbio
Dual specificity protein phosphatase 3,CHEMBL2635,P51452,Tchem
Dual specificity protein phosphatase 6,CHEMBL1250381,Q16828,Tbio
Dual specificity protein phosphatase CDC14A,CHEMBL1772926,Q9UNH5,Tbio
Dual specificity testis-specific protein kinase 1,CHEMBL5604,Q15569,Tchem
Dual specificity testis-specific protein kinase 2,CHEMBL2069163,Q96S53,Tchem
Dual specificity tyrosine-phosphorylation-regulated kinase 1B,CHEMBL5543,Q9Y463,Tchem
Dual specificity tyrosine-phosphorylation-regulated kinase 4,CHEMBL1075115,Q9NR20,Tchem
Dual specificty protein kinase CLK1,CHEMBL4224,P49759,Tchem
Dual-specificity tyrosine-phosphorylation regulated kinase 1A,CHEMBL2292,Q13627,Tchem
Dual-specificity tyrosine-phosphorylation regulated kinase 2,CHEMBL4376,Q92630,Tchem
Dual-specificity tyrosine-phosphorylation regulated kinase 3,CHEMBL4575,O43781,Tchem
Dynamin-1,CHEMBL4958,Q05193,Tbio
Dynamin-2,CHEMBL5812,P50570,Tchem
E3 SUMO-protein ligase CBX4,CHEMBL3232685,O00257,Tchem
E3 ubiquitin-protein ligase NEDD4,CHEMBL3621023,P46934,Tchem
E3 ubiquitin-protein ligase TRIM33,CHEMBL2176772,Q9UPN9,Tbio
ERO1-like protein alpha,CHEMBL1671609,Q96HE7,Tbio
Ectonucleoside triphosphate diphosphohydrolase 1,CHEMBL5722,P49961,Tchem
Ectonucleoside triphosphate diphosphohydrolase 2,CHEMBL5049,Q9Y5L3,Tchem
Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,CHEMBL5925,P22413,Tchem
Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,CHEMBL5580,O14638,Tbio
Egl nine homolog 1,CHEMBL5697,Q9GZT9,Tchem
Egl nine homolog 3,CHEMBL5705,Q9H6Z9,Tchem
Elastase 1,CHEMBL3000,Q9UNI1,Tchem
Elongation factor 1-alpha 1,CHEMBL1795120,P68104,Tchem
Elongation factor 1-alpha 2,CHEMBL1795122,Q05639,Tchem
Elongation of very long chain fatty acids protein 1,CHEMBL6001,Q9BW60,Tbio
Elongation of very long chain fatty acids protein 3,CHEMBL5791,Q9HB03,Tchem
Elongation of very long chain fatty acids protein 6,CHEMBL5704,Q9H5J4,Tchem
Emopamil-binding protein-like,CHEMBL2311238,Q9BY08,Tchem
Endo-beta-N-acetylglucosaminidase,CHEMBL5172,Q8NFI3,Tchem
Endoplasmic reticulum aminopeptidase 1,CHEMBL5939,Q9NZ08,Tchem
Endoplasmic reticulum aminopeptidase 2,CHEMBL5043,Q6P179,Tchem
"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",CHEMBL2308,Q9UKM7,Tchem
Endoplasmin,CHEMBL1075323,P14625,Tchem
Endothelial PAS domain-containing protein 1,CHEMBL1744522,Q99814,Tchem
Endothelial lipase,CHEMBL5080,Q9Y5X9,Tchem
Endothelin receptor ET-A,CHEMBL252,P25101,Tclin
Endothelin receptor ET-B,CHEMBL1785,P24530,Tclin
Endothelin-converting enzyme 1,CHEMBL4791,P42892,Tchem
Enteropeptidase,CHEMBL1741195,P98073,Tchem
Ephrin type-A receptor 1,CHEMBL5810,P21709,Tchem
Ephrin type-A receptor 2,CHEMBL2068,P29317,Tclin
Ephrin type-A receptor 3,CHEMBL4954,P29320,Tchem
Ephrin type-A receptor 4,CHEMBL3988,P54764,Tchem
Ephrin type-A receptor 5,CHEMBL3987,P54756,Tchem
Ephrin type-A receptor 6,CHEMBL4526,Q9UF33,Tchem
Ephrin type-A receptor 7,CHEMBL4602,Q15375,Tchem
Ephrin type-A receptor 8,CHEMBL4134,P29322,Tchem
Ephrin type-B receptor 1,CHEMBL5072,P54762,Tchem
Ephrin type-B receptor 2,CHEMBL3290,P29323,Tchem
Ephrin type-B receptor 3,CHEMBL4901,P54753,Tchem
Ephrin type-B receptor 4,CHEMBL5147,P54760,Tchem
Ephrin type-B receptor 6,CHEMBL5836,O15197,Tchem
Epidermal growth factor receptor erbB1,CHEMBL203,P00533,Tclin
Epithelial discoidin domain-containing receptor 1,CHEMBL5319,Q08345,Tchem
Epoxide hydratase,CHEMBL2409,P34913,Tchem
Epoxide hydrolase 1,CHEMBL1968,P07099,Tchem
Epsin-1,CHEMBL3259465,Q9Y6I3,Tbio
Equilibrative nucleoside transporter 1,CHEMBL1997,Q99808,Tclin
Estradiol 17-beta-dehydrogenase 1,CHEMBL3181,P14061,Tchem
Estradiol 17-beta-dehydrogenase 2,CHEMBL2789,P37059,Tchem
Estradiol 17-beta-dehydrogenase 3,CHEMBL4234,P37058,Tchem
Estrogen receptor alpha,CHEMBL206,P03372,Tclin
Estrogen receptor beta,CHEMBL242,Q92731,Tclin
Estrogen-related receptor alpha,CHEMBL3429,P11474,Tchem
Estrogen-related receptor beta,CHEMBL3751,O95718,Tchem
Estrogen-related receptor gamma,CHEMBL4245,P62508,Tchem
Eukaryotic initiation factor 4A-I,CHEMBL2052028,P60842,Tchem
Eukaryotic translation initation factor,CHEMBL4848,P06730,Tchem
Eukaryotic translation initiation factor 2-alpha kinase 1,CHEMBL6029,Q9BQI3,Tchem
Eukaryotic translation initiation factor 2-alpha kinase 3,CHEMBL6030,Q9NZJ5,Tchem
Eukaryotic translation initiation factor 2-alpha kinase 4,CHEMBL5358,Q9P2K8,Tchem
Excitatory amino acid transporter 1,CHEMBL3085,P43003,Tchem
Excitatory amino acid transporter 2,CHEMBL4973,P43004,Tchem
Excitatory amino acid transporter 3,CHEMBL2721,P43005,Tchem
Exportin-1,CHEMBL5661,O14980,Tbio
Ezrin,CHEMBL1932896,P15311,Tbio
FK506 binding protein 4,CHEMBL4050,Q02790,Tchem
FK506-binding protein 1A,CHEMBL1902,P62942,Tclin
Farnesyl diphosphate synthase,CHEMBL1782,P14324,Tclin
Fatty acid binding protein adipocyte,CHEMBL2083,P15090,Tchem
Fatty acid binding protein epidermal,CHEMBL3674,Q01469,Tchem
Fatty acid binding protein intestinal,CHEMBL4879,P12104,Tchem
Fatty acid binding protein muscle,CHEMBL3344,P05413,Tchem
Fatty acid desaturase 1,CHEMBL5840,O60427,Tchem
Fatty acid synthase,CHEMBL4158,P49327,Tchem
Fatty acid transport protein 2,CHEMBL4326,O14975,Tbio
Fatty acid transport protein 4,CHEMBL4327,Q6P1M0,Tchem
"Fatty acid-binding protein, liver",CHEMBL5421,P07148,Tchem
Fibroblast activation protein alpha,CHEMBL4683,Q12884,Tchem
Fibroblast growth factor receptor 1,CHEMBL3650,P11362,Tclin
Fibroblast growth factor receptor 2,CHEMBL4142,P21802,Tclin
Fibroblast growth factor receptor 3,CHEMBL2742,P22607,Tclin
Fibroblast growth factor receptor 4,CHEMBL3973,P22455,Tclin
Flap endonuclease 1,CHEMBL5027,P39748,Tchem
Focal adhesion kinase 1,CHEMBL2695,Q05397,Tchem
Folate receptor alpha,CHEMBL2121,P15328,Tchem
Folate receptor beta,CHEMBL5064,P14207,Tchem
Folate transporter 1,CHEMBL4833,P41440,Tchem
Follicle stimulating hormone receptor,CHEMBL2024,P23945,Tclin
Formyl peptide receptor 1,CHEMBL3359,P21462,Tchem
Free fatty acid receptor 1,CHEMBL4422,O14842,Tchem
Free fatty acid receptor 2,CHEMBL5493,O15552,Tchem
"Fructose-1,6-bisphosphatase",CHEMBL3975,P09467,Tchem
Fucosyltransferase 4,CHEMBL4996,P22083,Tbio
Fucosyltransferase 5,CHEMBL3146,Q11128,Tbio
Fucosyltransferase 6,CHEMBL4443,P51993,Tchem
Fucosyltransferase 9,CHEMBL4985,Q9Y231,Tbio
Furin,CHEMBL2611,P09958,Tchem
G protein-coupled receptor 44,CHEMBL5071,Q9Y5Y4,Tchem
G protein-coupled receptor kinase 4,CHEMBL5861,P32298,Tchem
G protein-coupled receptor kinase 5,CHEMBL5678,P34947,Tchem
G protein-coupled receptor kinase 7,CHEMBL1075133,Q8WTQ7,Tchem
G-protein coupled bile acid receptor 1,CHEMBL5409,Q8TDU6,Tchem
G-protein coupled estrogen receptor 1,CHEMBL5872,Q99527,Tchem
G-protein coupled receptor 120,CHEMBL5339,Q5NUL3,Tchem
G-protein coupled receptor 183,CHEMBL3259470,P32249,Tchem
G-protein coupled receptor 35,CHEMBL1293267,Q9HC97,Tchem
G-protein coupled receptor 39,CHEMBL3091266,O43194,Tchem
G-protein coupled receptor 4,CHEMBL3638324,P46093,Tchem
G-protein coupled receptor 55,CHEMBL1075322,Q9Y2T6,Tchem
G-protein coupled receptor 81,CHEMBL1075101,Q9BXC0,Tchem
G-protein coupled receptor 84,CHEMBL3714079,Q9NQS5,Tchem
G-protein coupled receptor kinase 2,CHEMBL4079,P25098,Tchem
GABA receptor alpha-1 subunit,CHEMBL1962,P14867,Tclin
GABA receptor alpha-2 subunit,CHEMBL4956,P47869,Tclin
GABA receptor alpha-3 subunit,CHEMBL3026,P34903,Tclin
GABA receptor alpha-4 subunit,CHEMBL2472,P48169,Tclin
GABA receptor alpha-5 subunit,CHEMBL5112,P31644,Tclin
GABA receptor alpha-6 subunit,CHEMBL2579,Q16445,Tclin
GABA receptor beta-3 subunit,CHEMBL1847,P28472,Tclin
GABA receptor rho-1 subunit,CHEMBL3561,P24046,Tchem
GABA receptor rho-2 subunit,CHEMBL2375,P28476,Tbio
GABA transporter 1,CHEMBL1903,P30531,Tclin
GABA transporter 2,CHEMBL4535,Q9NSD5,Tchem
GABA transporter 3,CHEMBL5208,P48066,Tbio
GABA-B receptor 1,CHEMBL2064,Q9UBS5,Tclin
GAR transformylase,CHEMBL3972,P22102,Tclin
GTPase KRas,CHEMBL2189121,P01116,Tchem
Galactokinase,CHEMBL1293257,P51570,Tbio
Galanin receptor 1,CHEMBL4894,P47211,Tchem
Galanin receptor 2,CHEMBL3176,O43603,Tchem
Galanin receptor 3,CHEMBL2731,O60755,Tchem
Galectin-1,CHEMBL4915,P09382,Tchem
Galectin-3,CHEMBL4531,P17931,Tchem
Galectin-4,CHEMBL1671608,P56470,Tchem
Galectin-7,CHEMBL5008,P47929,Tbio
Galectin-8,CHEMBL5475,O00214,Tchem
Galectin-9,CHEMBL5474,O00182,Tchem
Gamma-amino-N-butyrate transaminase,CHEMBL2044,P80404,Tclin
Gamma-butyrobetaine dioxygenase,CHEMBL2163175,O75936,Tchem
Gastric inhibitory polypeptide,CHEMBL5571,P09681,Tchem
Gastric inhibitory polypeptide receptor,CHEMBL4383,P48546,Tchem
Gastrin releasing peptide receptor,CHEMBL4959,P30550,Tchem
Geranylgeranyl pyrophosphate synthetase,CHEMBL4769,O95749,Tchem
Ghrelin O-acyltransferase,CHEMBL3588729,Q96T53,Tbio
Ghrelin receptor,CHEMBL4616,Q92847,Tclin
Glucagon,CHEMBL5736,P01275,Tchem
Glucagon receptor,CHEMBL1985,P47871,Tclin
Glucagon-like peptide 1 receptor,CHEMBL1784,P43220,Tclin
Glucocorticoid receptor,CHEMBL2034,P04150,Tclin
Glucokinase regulatory protein,CHEMBL1075152,Q14397,Tchem
Glucose transporter,CHEMBL2535,P11166,Tchem
Glucose-6-phosphate 1-dehydrogenase,CHEMBL5347,P11413,Tchem
Glucose-6-phosphate translocase,CHEMBL3217398,O43826,Tchem
Glucose-dependent insulinotropic receptor,CHEMBL5652,Q8TDV5,Tchem
Glutamate (NMDA) receptor subunit zeta 1,CHEMBL2015,Q05586,Tclin
Glutamate [NMDA] receptor subunit epsilon 2,CHEMBL1904,Q13224,Tclin
Glutamate [NMDA] receptor subunit epsilon 4,CHEMBL2591,O15399,Tclin
Glutamate carboxypeptidase II,CHEMBL1892,Q04609,Tchem
Glutamate receptor ionotropic kainate 1,CHEMBL1918,P39086,Tclin
Glutamate receptor ionotropic kainate 2,CHEMBL3683,Q13002,Tclin
Glutamate receptor ionotropic kainate 3,CHEMBL3684,Q13003,Tclin
Glutamate receptor ionotropic kainate 5,CHEMBL2675,Q16478,Tclin
"Glutamate receptor ionotropic, AMPA 1",CHEMBL2009,P42261,Tclin
"Glutamate receptor ionotropic, AMPA 2",CHEMBL4016,P42262,Tclin
"Glutamate receptor ionotropic, AMPA 3",CHEMBL3595,P42263,Tclin
"Glutamate receptor ionotropic, AMPA 4",CHEMBL3190,P48058,Tclin
"Glutaminase kidney isoform, mitochondrial",CHEMBL2146302,O94925,Tchem
Glutaminyl-peptide cyclotransferase,CHEMBL4508,Q16769,Tchem
Glutaminyl-peptide cyclotransferase-like protein,CHEMBL3638349,Q9NXS2,Tchem
Glutathione S-transferase A1,CHEMBL3409,P08263,Tchem
Glutathione S-transferase A2,CHEMBL2241,P09210,Tbio
Glutathione S-transferase Mu 1,CHEMBL2081,P09488,Tbio
Glutathione S-transferase Mu 2,CHEMBL4589,P28161,Tchem
Glutathione S-transferase Pi,CHEMBL3902,P09211,Tchem
Glutathione reductase,CHEMBL2755,P00390,Tclin
Glutathione transferase omega 1,CHEMBL3174,P78417,Tchem
Glyceraldehyde-3-phosphate dehydrogenase liver,CHEMBL2284,P04406,Tchem
Glycine receptor subunit alpha-1,CHEMBL5845,P23415,Tclin
Glycine receptor subunit alpha-2,CHEMBL5871,P23416,Tchem
Glycine receptor subunit alpha-3,CHEMBL1075092,O75311,Tchem
Glycine transporter 1,CHEMBL2337,P48067,Tchem
Glycine transporter 2,CHEMBL3060,Q9Y345,Tchem
Glycogen synthase kinase-3 alpha,CHEMBL2850,P49840,Tclin
Glycogen synthase kinase-3 beta,CHEMBL262,P49841,Tclin
Glyoxalase I,CHEMBL2424,Q04760,Tchem
Gonadotropin-releasing hormone receptor,CHEMBL1855,P30968,Tclin
Group IID secretory phospholipase A2,CHEMBL4281,Q9UNK4,Tchem
Group IIE secretory phospholipase A2,CHEMBL2154,Q9NZK7,Tchem
Group IIF secretory phospholipase A2,CHEMBL4278,Q9BZM2,Tchem
Group X secretory phospholipase A2,CHEMBL4342,O15496,Tchem
Growth factor receptor-bound protein 2,CHEMBL3663,P62993,Tchem
Growth factor receptor-bound protein 7,CHEMBL1649051,Q14451,Tbio
"Guanine nucleotide-binding protein G(i), alpha-1 subunit",CHEMBL4741,P63096,Tbio
"Guanine nucleotide-binding protein G(k), alpha-3 subunit",CHEMBL4221,P08754,Tbio
"Guanine nucleotide-binding protein G(o), alpha subunit 1",CHEMBL4742,P09471,Tbio
HERG,CHEMBL240,Q12809,Tclin
HLA-DR antigens-associated invariant chain,CHEMBL4692,P04233,Tchem
HM74 nicotinic acid GPCR,CHEMBL4421,P49019,Tchem
HMG-CoA reductase,CHEMBL402,P04035,Tclin
Heat shock cognate 71 kDa protein,CHEMBL1275223,P11142,Tchem
Heat shock factor protein 1,CHEMBL5869,Q00613,Tbio
"Heat shock protein 75 kDa, mitochondrial",CHEMBL1075132,Q12931,Tchem
Heat shock protein HSP 90-alpha,CHEMBL3880,P07900,Tchem
Heat shock protein HSP 90-beta,CHEMBL4303,P08238,Tchem
Heat shock protein beta-1,CHEMBL5976,P04792,Tchem
Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP,CHEMBL2889,Q9Y2R2,Tchem
Hematopoietic prostaglandin D synthase,CHEMBL5879,O60760,Tchem
Heme oxygenase 1,CHEMBL2823,P09601,Tchem
Heparanase,CHEMBL3921,Q9Y251,Tchem
Hepatic lipase,CHEMBL2127,P11150,Tchem
Hepatocyte growth factor,CHEMBL5479,P14210,Tchem
Hepatocyte growth factor activator,CHEMBL3351190,Q04756,Tchem
Hepatocyte growth factor receptor,CHEMBL3717,P08581,Tclin
Hepatocyte nuclear factor 4-alpha,CHEMBL5398,P41235,Tchem
Heterogeneous nuclear ribonucleoprotein A1,CHEMBL1955709,P09651,Tchem
Hexokinase type I,CHEMBL2688,P19367,Tchem
Hexokinase type II,CHEMBL2640,P52789,Tchem
Hexokinase type IV,CHEMBL3820,P35557,Tchem
High affinity immunoglobulin gamma Fc receptor I,CHEMBL5349,P12314,Tchem
High-affinity choline transporter,CHEMBL4507,Q9GZV3,Tchem
Histamine H1 receptor,CHEMBL231,P35367,Tclin
Histamine H2 receptor,CHEMBL1941,P25021,Tclin
Histamine H3 receptor,CHEMBL264,Q9Y5N1,Tclin
Histamine H4 receptor,CHEMBL3759,Q9H3N8,Tchem
Histidine triad nucleotide-binding protein 1,CHEMBL5878,P49773,Tbio
Histone H1.0,CHEMBL3707465,P07305,Tchem
Histone acetyltransferase GCN5,CHEMBL5501,Q92830,Tbio
Histone acetyltransferase KAT5,CHEMBL5750,Q92993,Tchem
Histone acetyltransferase KAT8,CHEMBL1932912,Q9H7Z6,Tchem
Histone acetyltransferase PCAF,CHEMBL5500,Q92831,Tchem
Histone acetyltransferase p300,CHEMBL3784,Q09472,Tchem
Histone chaperone ASF1A,CHEMBL3392950,Q9Y294,Tchem
Histone deacetylase 1,CHEMBL325,Q13547,Tclin
Histone deacetylase 10,CHEMBL5103,Q969S8,Tclin
Histone deacetylase 11,CHEMBL3310,Q96DB2,Tclin
Histone deacetylase 2,CHEMBL1937,Q92769,Tclin
Histone deacetylase 3,CHEMBL1829,O15379,Tclin
Histone deacetylase 4,CHEMBL3524,P56524,Tclin
Histone deacetylase 5,CHEMBL2563,Q9UQL6,Tclin
Histone deacetylase 6,CHEMBL1865,Q9UBN7,Tclin
Histone deacetylase 7,CHEMBL2716,Q8WUI4,Tclin
Histone deacetylase 8,CHEMBL3192,Q9BY41,Tclin
Histone deacetylase 9,CHEMBL4145,Q9UKV0,Tclin
Histone lysine demethylase PHF8,CHEMBL1938212,Q9UPP1,Tchem
Histone-arginine methyltransferase CARM1,CHEMBL5406,Q86X55,Tchem
Histone-lysine N-methyltransferase EZH1,CHEMBL2189116,Q92800,Tchem
Histone-lysine N-methyltransferase EZH2,CHEMBL2189110,Q15910,Tchem
Histone-lysine N-methyltransferase MLL,CHEMBL1293299,Q03164,Tchem
Histone-lysine N-methyltransferase SETD2,CHEMBL3108647,Q9BYW2,Tchem
Histone-lysine N-methyltransferase SETD7,CHEMBL5523,Q8WTS6,Tchem
Histone-lysine N-methyltransferase SETDB1,CHEMBL2321646,Q15047,Tbio
Histone-lysine N-methyltransferase SMYD3,CHEMBL2321643,Q9H7B4,Tchem
Histone-lysine N-methyltransferase SUV39H1,CHEMBL1795118,O43463,Tchem
Histone-lysine N-methyltransferase SUV39H2,CHEMBL1795177,Q9H5I1,Tbio
Histone-lysine N-methyltransferase SUV420H2,CHEMBL2321644,Q86Y97,Tchem
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",CHEMBL1795117,Q8TEK3,Tchem
"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3",CHEMBL6032,Q96KQ7,Tchem
"Histone-lysine N-methyltransferase, H3 lysine-9 specific 5",CHEMBL6031,Q9H9B1,Tchem
Homeodomain-interacting protein kinase 1,CHEMBL5427,Q86Z02,Tchem
Homeodomain-interacting protein kinase 2,CHEMBL4576,Q9H2X6,Tchem
Homeodomain-interacting protein kinase 3,CHEMBL4577,Q9H422,Tchem
Homeodomain-interacting protein kinase 4,CHEMBL1075167,Q8NE63,Tchem
Hormonally up-regulated neu tumor-associated kinase,CHEMBL1795165,P57058,Tchem
Hormone sensitive lipase,CHEMBL3590,Q05469,Tchem
Huntingtin,CHEMBL5514,P42858,Tchem
Hydroxyacid oxidase 2,CHEMBL2169732,Q9NYQ3,Tchem
Hydroxycarboxylic acid receptor 2,CHEMBL3785,Q8TDS4,Tclin
Hypoxanthine-guanine phosphoribosyltransferase,CHEMBL2360,P00492,Tchem
Hypoxia-inducible factor 1 alpha,CHEMBL4261,Q16665,Tchem
Hypoxia-inducible factor 1-alpha inhibitor,CHEMBL5909,Q9NWT6,Tbio
Hypoxia-inducible factor prolyl 4-hydroxylase,CHEMBL3047,Q9NXG6,Tchem
Hypoxia-inducible factor prolyl hydroxylase 1,CHEMBL3028,Q96KS0,Tchem
Ileal bile acid transporter,CHEMBL2778,Q12908,Tclin
"Indoleamine 2,3-dioxygenase",CHEMBL4685,P14902,Tchem
Induced myeloid leukemia cell differentiation protein Mcl-1,CHEMBL4361,Q07820,Tchem
Inhibitor of apoptosis protein 3,CHEMBL4198,P98170,Tchem
Inhibitor of growth protein 2,CHEMBL3784904,Q9H160,Tbio
Inhibitor of nuclear factor kappa B kinase alpha subunit,CHEMBL3476,O15111,Tchem
Inhibitor of nuclear factor kappa B kinase beta subunit,CHEMBL1991,O14920,Tchem
Inhibitor of nuclear factor kappa B kinase epsilon subunit,CHEMBL3529,Q14164,Tchem
Inosine-5'-monophosphate dehydrogenase 1,CHEMBL1822,P20839,Tclin
Inosine-5'-monophosphate dehydrogenase 2,CHEMBL2002,P12268,Tclin
Insulin receptor,CHEMBL1981,P06213,Tclin
Insulin receptor-related protein,CHEMBL5483,P14616,Tchem
Insulin-degrading enzyme,CHEMBL1293287,P14735,Tchem
Insulin-like growth factor I receptor,CHEMBL1957,P08069,Tclin
Insulin-like growth factor II receptor,CHEMBL3240,P11717,Tchem
Integrin alpha-1,CHEMBL3682,P56199,Tbio
Integrin alpha-2,CHEMBL4998,P17301,Tbio
Integrin alpha-4,CHEMBL278,P13612,Tclin
Integrin alpha-IIb,CHEMBL212,P08514,Tclin
Intercellular adhesion molecule-1,CHEMBL3070,P05362,Tchem
Interferon-alpha/beta receptor alpha chain,CHEMBL1887,P17181,Tclin
"Interferon-induced, double-stranded RNA-activated protein kinase",CHEMBL5785,P19525,Tchem
Interleukin-1 beta,CHEMBL1909490,P01584,Tclin
Interleukin-1 receptor-associated kinase 1,CHEMBL3357,P51617,Tchem
Interleukin-1 receptor-associated kinase 3,CHEMBL5081,Q9Y616,Tchem
Interleukin-1 receptor-associated kinase 4,CHEMBL3778,Q9NWZ3,Tchem
Interleukin-2,CHEMBL5880,P60568,Tchem
Interleukin-2 receptor alpha chain,CHEMBL1778,P01589,Tclin
Interleukin-6 receptor subunit beta,CHEMBL3124734,P40189,Tclin
Interleukin-8,CHEMBL2157,P10145,Tchem
Interleukin-8 receptor A,CHEMBL4029,P25024,Tchem
Interleukin-8 receptor B,CHEMBL2434,P25025,Tchem
Intermediate conductance calcium-activated potassium channel protein 4,CHEMBL4305,O15554,Tchem
Intestinal alkaline phosphatase,CHEMBL5573,P09923,Tbio
Inward rectifier potassium channel 4,CHEMBL2146347,P48050,Tchem
Isocitrate dehydrogenase [NADP] cytoplasmic,CHEMBL2007625,O75874,Tchem
Isoprenylcysteine carboxyl methyltransferase,CHEMBL4699,O60725,Tchem
Kallikrein 1,CHEMBL2319,P06870,Tchem
Kallikrein 14,CHEMBL2641,Q9P0G3,Tchem
Kallikrein 2,CHEMBL2442,P20151,Tchem
Kallikrein 4,CHEMBL4446,Q9Y5K2,Tchem
Kallikrein 5,CHEMBL4447,Q9Y337,Tchem
Kallikrein 6,CHEMBL4448,Q92876,Tchem
Kallikrein 7,CHEMBL2443,P49862,Tchem
Kallikrein 8,CHEMBL4812,O60259,Tchem
Kappa opioid receptor,CHEMBL237,P41145,Tclin
Kelch-like ECH-associated protein 1,CHEMBL2069156,Q14145,Tclin
Ketohexokinase,CHEMBL1275212,P50053,Tchem
Kinesin heavy chain isoform 5A,CHEMBL5295,Q12840,Tbio
Kinesin heavy chain isoform 5C,CHEMBL2029194,O60282,Tbio
Kinesin-like protein 1,CHEMBL4581,P52732,Tchem
Kinesin-like protein KIF20A,CHEMBL2021753,O95235,Tchem
Kinesin-like protein KIF23,CHEMBL5899,Q02241,Tbio
